id,thesession.org_id,album_id,track_num,title,tune_num
8062,2935,319,12,The Ballykeal,2
8063,880,319,13,Da New Rigged Ship,1
8064,12008,319,13,Shelder Geo,2
8065,1001,319,13,Sleep Sound In The Morning,3
8066,3943,320,1,The Leitrim Lilter,1
8067,1333,320,1,The Twelves Pins,2
8068,2536,320,1,Jim Donoghue's,3
8069,927,320,2,Policeman's Holiday,1
8070,-1,320,2,The Big John Big,2
8071,-1,320,3,Gloomy Winter Noo Awa,1
8072,-1,320,4,Kerry Slides,1
8073,759,320,5,Crowley's,1
8074,1949,320,5,Mc Farley's,2
8075,822,320,5,The Leitrim Trush,3
8076,3291,320,6,Thomond Bridge,1
8077,-1,320,6,The Star Of The East,2
8078,4906,320,7,Dark Island,1
8079,621,320,8,Tim Moloney,1
8080,118,320,8,Doherty's,2
8081,1105,320,8,The Phoenix,3
8082,3456,320,9,Bimis Ag Ol,1
8083,2815,320,9,Eddy Kelly's,2
8084,43,320,9,The Geese In The Bog,3
8085,-1,320,10,Solo Uillean Pipe,1
8086,1500,320,11,Liverpool,1
8087,32,320,11,The Friendly Visit,2
8088,-1,320,12,Jackie's Tune,1
8089,184,320,13,The Red Crow,1
8090,619,320,13,In Memory Of Coleman,2
8091,1080,321,1,Top Of The Cork Road,1
8092,235,321,1,Yellow John,2
8093,3068,321,1,Planxty Charles O'Connor,3
8094,1107,321,2,The Ace And Deuce Of Piping,1
8095,1605,321,2,The Job Of Journeywork,2
8096,406,321,3,Garret Barry's,1
8097,62,321,3,The Lark In The Morning,2
8098,3564,321,4,The Wexford,1
8099,2261,321,4,The High Level,2
8100,748,321,5,The Flax In Bloom,1
8101,591,321,5,The Pinch Of Snuff,2
8102,943,321,5,Corney Is Coming,3
8103,788,321,6,Carolan's Concerto,1
8104,2937,321,6,Planxty Davis,2
8105,1638,321,7,An TAthair Jack Walsh,1
8106,808,321,7,The Cook In The Kitchen,2
8107,26,321,7,Donnybrook Fair,3
8108,6198,321,8,Morgan Magan,1
8109,2141,321,9,Sliabh Na MBan,1
8110,996,321,10,The Tailor's Twist,1
8111,1262,321,10,The Fairies',2
8112,1837,321,11,Fead An Iolair,1
8113,-1,321,11,The Fairy Revels,2
8114,810,322,1,Hudie Gallagher's March,1
8115,-1,322,1,Untitled,2
8116,429,322,2,The Black Mare Of Fanad,1
8117,-1,322,3,The March Of The Meena Toiten Bull,1
8118,1680,322,4,Kiss The Maid Behind The Bier,1
8119,-1,322,4,The Bargain Is Over,2
8120,10390,322,5,The 21 Highland,1
8121,5252,322,6,Untitled March,1
8122,-1,322,7,Untitled,1
8123,-1,322,8,The Paps Of Glencoe,1
8124,1736,322,9,The Hare In The Corn,1
8125,5252,322,10,Untitled March,1
8126,1822,322,11,The Knights Of St Patrick,1
8127,129,322,12,The Dispute At The Crossroads,1
8128,762,322,13,Roaring Mary,1
8129,471,322,13,Stormy Weather,2
8130,281,322,14,Miss Patterson's Slippers,1
8131,173,322,15,The Cat That Kittled In James' Wig,1
8132,10017,322,16,Welcome Home Royal Charlie,1
8133,45,322,17,Darby Gallagher,1
8134,-1,322,18,Untitled Mazurka,1
8135,-1,322,19,Untitled,1
8136,6997,322,20,The Teelin Highland,1
8137,5252,322,21,Untitled March,1
8138,411,322,22,The Heathery Breeze,1
8139,-1,322,23,Untitled Highland,1
8140,-1,322,24,The Monaghan Switch,1
8141,-1,322,25,Untitled Highland,1
8142,237,322,26,The Black Haired Lass,1
8143,512,322,27,Paddy's Rambles Through The Park,1
8144,657,323,1,The International,1
8145,5337,323,1,Eileen O'Brien's,2
8146,4143,323,2,Chuckling In The Bunk,1
8147,9503,323,2,Springtime,2
8148,-1,323,3,The Lockkeeper,1
8149,-1,323,4,The Jigermyster,1
8150,7301,323,4,Jerry Holland's,2
8151,19,323,4,The Connachtman's Rambles,3
8152,1047,323,5,Ronds De Loudeac,1
8153,2081,323,5,Gavotte,2
8154,8929,323,6,Maria's,1
8155,8161,323,7,The Rose In The Garden,1
8156,1288,323,8,The Abbey Leix,1
8157,663,323,8,The Peacock's Feather,2
8158,5057,323,8,Union Street Session,3
8159,-1,323,9,The Egg,1
8160,-1,323,9,A New Day,2
8161,2125,323,9,Paddy Kelly's,3
8162,-1,323,10,O'Shea's,1
